adp_rank_overall,adp_rank_skill,player,pos,team,consensus_adp,n_sources,source_spread,fp_ecr_half,delta_adp_minus_ecr,ecr_sd,ecr_best,ecr_worst,ffc_halfppr,yahoo,sleeper,rtsports,underdog_bestball,draftsharks_consensus
50,50,David Montgomery,RB,HOU,51.6,4,7.8,56,-6,7.95,37,79,55.1,52.6,51.4,47.3,47.1,48.0
51,51,Terry McLaurin,WR,WAS,52.1,4,10.5,46,5,7.29,32,68,45.4,54.2,55.9,53.1,48.2,52.0
52,52,DJ Moore,WR,BUF,53.0,4,24.0,59,-7,12.56,26,101,50.7,63.4,58.5,39.4,52.6,54.0
53,53,Luther Burden III,WR,CHI,54.2,4,16.4,48,5,10.81,31,80,62.4,58.5,50.1,46.0,46.0,51.0
54,54,Tyler Warren,TE,IND,55.0,4,24.6,53,1,12.07,24,84,70.6,47.2,46.0,56.4,63.5,53.0
55,55,Jameson Williams,WR,DET,55.5,4,24.9,52,3,9.45,38,89,41.1,66.0,57.3,57.7,51.4,56.0
56,56,Drake Maye,QB,NE,56.4,4,30.6,44,12,17.33,27,124,52.1,47.3,48.1,77.9,66.8,55.0
57,57,Bhayshul Tuten,RB,JAX,56.4,4,12.6,63,-6,10.0,41,88,52.8,62.2,61.1,49.6,50.0,
58,58,TreVeyon Henderson,RB,NE,56.4,4,9.4,64,-6,10.11,36,85,59.3,61.6,52.2,52.3,57.8,50.0
59,59,Rome Odunze,WR,CHI,59.4,4,22.3,60,-1,9.14,39,80,46.0,68.3,66.1,57.3,58.3,62.0
60,60,Mike Evans,WR,SF,59.5,4,11.2,58,2,9.83,37,80,55.0,66.2,59.5,57.5,49.8,60.0
61,61,Joe Burrow,QB,CIN,60.0,4,31.9,49,12,16.05,27,103,57.3,48.3,54.0,80.2,68.0,59.0
62,62,Christian Watson,WR,GB,63.6,4,12.7,57,5,10.03,40,91,56.4,67.7,69.1,61.2,57.2,65.0
63,63,Jadarian Price,RB,SEA,66.8,4,21.8,65,-2,10.22,43,116,76.6,66.1,69.7,54.8,61.3,61.0
64,64,Jayden Daniels,QB,WAS,68.3,4,32.8,61,3,16.43,27,107,70.5,53.8,62.5,86.6,68.6,64.0
65,65,Jaylen Warren,RB,PIT,70.3,4,14.4,71,-6,8.46,56,100,62.4,76.8,73.6,68.5,69.7,67.0
66,66,Carnell Tate,WR,TEN,70.7,4,15.1,72,-6,14.55,49,127,72.6,79.1,64.0,67.2,62.0,63.0
67,67,Parker Washington,WR,JAX,71.3,4,24.6,67,0,15.43,47,114,65.3,84.0,76.7,59.4,58.4,
68,68,Jalen Hurts,QB,PHI,72.7,4,33.7,62,6,12.42,29,97,80.4,56.8,62.9,90.5,71.9,66.0
69,69,Marvin Harrison Jr.,WR,ARI,73.7,4,13.7,70,-1,11.73,45,115,65.2,78.9,75.7,74.8,66.3,71.0
70,70,Brian Thomas Jr.,WR,JAX,73.7,4,15.1,74,-4,12.59,48,115,69.4,84.1,72.4,69.0,64.2,
71,71,Harold Fannin Jr.,TE,CLE,74.5,4,16.8,77,-6,15.95,34,165,83.9,71.4,67.1,75.5,103.7,76.0
72,72,Rhamondre Stevenson,RB,NE,75.6,4,16.9,73,-1,10.28,57,113,68.2,80.7,85.1,68.3,70.2,74.0
73,73,Tucker Kraft,TE,GB,76.2,4,41.5,68,5,10.07,54,96,102.5,61.0,65.6,75.7,78.1,68.0
74,74,DK Metcalf,WR,PIT,76.3,4,22.7,78,-4,12.07,50,120,63.8,86.5,74.3,80.7,74.5,75.0
75,75,Sam LaPorta,TE,DET,76.6,4,34.3,79,-4,11.69,50,137,94.4,62.9,60.1,89.1,88.9,72.0
76,76,Kyle Pitts Sr.,TE,ATL,77.5,4,16.7,82,-6,9.65,65,108,84.9,73.2,68.2,83.8,101.5,77.0
77,77,Tony Pollard,RB,TEN,78.0,4,22.6,76,1,10.75,53,115,65.0,85.5,87.6,74.0,77.2,80.0
78,78,Chuba Hubbard,RB,CAR,79.6,4,13.3,90,-12,15.73,59,133,74.1,80.8,76.1,87.4,95.9,79.0
79,79,Courtland Sutton,WR,DEN,80.2,4,42.7,84,-5,13.62,54,119,59.6,102.3,80.9,77.8,82.8,85.0
80,80,Rico Dowdle,RB,PIT,80.8,4,16.0,81,-1,11.23,60,117,74.8,87.2,88.5,72.5,84.3,82.0
81,81,Dak Prescott,QB,DAL,81.6,4,38.6,80,1,18.09,36,165,65.7,74.6,81.7,104.3,79.9,84.0
82,82,Caleb Williams,QB,CHI,82.2,4,29.8,66,16,14.89,27,98,90.1,68.5,71.9,98.3,72.8,73.0
83,83,Alec Pierce,WR,IND,83.6,4,43.3,92,-9,18.7,70,173,53.9,88.5,97.2,94.9,94.6,93.0
84,84,Michael Wilson,WR,ARI,84.0,4,31.1,88,-4,16.7,62,147,76.1,104.3,82.3,73.2,90.8,88.0
85,85,RJ Harvey,RB,DEN,86.2,4,27.8,94,-9,18.44,49,146,88.8,102.0,79.9,74.2,89.1,83.0
86,86,Chris Godwin Jr.,WR,TB,86.8,4,22.8,83,3,14.1,60,133,77.8,98.1,95.8,75.3,85.3,92.0
87,87,J.K. Dobbins,RB,DEN,90.0,4,14.1,85,2,13.8,67,126,83.5,97.6,92.6,86.3,95.9,89.0
88,88,Justin Herbert,QB,LAC,91.4,4,40.5,69,19,13.51,36,118,109.6,69.1,83.4,103.4,83.5,81.0
89,89,Michael Pittman Jr.,WR,PIT,92.4,3,20.7,87,2,13.92,55,125,81.4,119.9,102.1,93.6,99.9,102.0
90,90,Jordyn Tyson,WR,NO,93.8,4,36.0,127,-37,27.48,91,217,114.6,92.4,78.6,89.6,87.8,78.0
91,91,Trevor Lawrence,QB,JAX,94.1,4,14.1,75,16,13.28,36,108,94.8,85.0,97.5,99.1,86.2,
92,92,Wan'Dale Robinson,WR,TEN,95.0,3,29.2,97,-5,16.3,54,135,92.5,131.0,110.8,81.6,111.8,112.0
93,93,Jonathon Brooks,RB,CAR,96.8,4,50.2,86,7,29.95,59,234,103.5,100.5,116.6,66.4,77.7,87.0
94,94,Kyle Monangai,RB,CHI,96.9,4,23.0,102,-8,14.63,67,137,106.3,102.0,96.0,83.3,105.5,90.0
95,95,Josh Downs,WR,IND,99.4,4,25.5,95,0,16.48,63,147,85.3,110.8,109.6,91.8,82.8,103.0
96,96,Quentin Johnston,WR,LAC,99.4,4,23.5,89,7,13.24,69,139,85.4,108.5,108.9,94.8,74.3,96.0
